road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 관악구 대학7길 24,"950384.047772","1941162.206509","950388.19448","1941166.165694","3.0","1","950388.19448","1941166.165694","950388.466","1941170.905","950388.231","1941171.342","0.500",,,,
서울특별시 관악구 대학7길 25,"950406.438253","1941178.248438","950406.800009","1941176.800309","5.0","1","950406.800009","1941176.800309","950406.681","1941170.187","950406.779","1941173.228","3.040",,,,
서울특별시 관악구 대학7길 26,"950394.276754","1941161.207416","950397.963932","1941165.601174","1.0","6","950397.963932","1941165.601174","950398.236","1941170.345","950400.225","1941164.947","5.750",,,,
서울특별시 관악구 대학7길 26 1동,"950423.322042","1941155.731774","950397.963932","1941165.601174","5.0","6","950423.322042","1941155.731774","950423.577","1941169.882","950423.251","1941143.843","26.040",,,,
서울특별시 관악구 대학7길 26 2동,"950428.809005","1941128.830258","950397.963932","1941165.601174","5.0","6","950428.809005","1941128.830258","950458.198","1941139.914","950429.831","1941141.474","28.410",,,,
서울특별시 관악구 대학7길 26 3동,"950436.270105","1941101.995482","950397.963932","1941165.601174","5.0","6","950436.270105","1941101.995482","950463.658","1941127.318","950438.681","1941112.134","29.230",,,,
서울특별시 관악구 대학7길 26 4동,"950448.387397","1941075.101178","950397.963932","1941165.601174","5.0","6","950448.387397","1941075.101178","950421.038","1941049.148","950446.781","1941069.152","32.600",,,,
서울특별시 관악구 대학7길 29,"950417.095873","1941178.36286","950419.47426","1941174.509038","3.0","1","950419.47426","1941174.509038","950419.392","1941169.957","950419.997","1941173.815","3.910",,,,
서울특별시 관악구 대학7길 31,"950429.41092","1941179.533233","950435.738759","1941178.744379","5.0","1","950435.738759","1941178.744379","950437.321","1941172.566","950437.056","1941176.043","3.490",,,,
서울특별시 관악구 대학7길 33,"950438.777066","1941194.166535","950439.795104","1941190.798509","3.0","1","950439.795104","1941190.798509","950453.716","1941189.677","950442.743","1941177.008","16.760",,,,
서울특별시 관악구 대학7길 35,"950446.666232","1941184.175257","950447.280679","1941181.034433","3.0","1","950447.280679","1941181.034433","950448.485","1941175.329","950447.763","1941177.977","2.740",,,,
서울특별시 관악구 대학7길 35-1,"950448.48624","1941196.359903","950452.150532","1941194.184857","2.0","1","950452.150532","1941194.184857","950453.716","1941189.677","950455.459","1941179.595","10.230",,,,
서울특별시 관악구 대학7길 35-2,"950458.853683","1941198.558254","950455.93111","1941195.876223","3.0","1","950455.93111","1941195.876223","950453.716","1941189.677","950460.144","1941180.565","11.150",,,,
서울특별시 관악구 대학7길 36,"950456.928101","1941166.872343","950454.325401","1941170.379063","3.0","1","950454.325401","1941170.379063","950449.777","1941169.451","950451.726","1941169.966","2.020",,,,
서울특별시 관악구 대학7길 36-5,"950464.985832","1941156.86288","950457.662213","1941153.295015","5.0","1","950457.662213","1941153.295015","950453.713","1941151.806","950456.304","1941152.965","2.840",,,,
